latitude,longitude,animal_type,vehicle_type,Region,District,DS_Division,rain,water_distance,NDVI,distance_to_forest
8.059542717,80.59500528,Elephant,Train,Anuradhapura,Anuradhapura,Kekirawa,1600.834106,1249.813534,0,21598.90477
8.63106399,80.56755341,Elephant,Train,Anuradhapura,Anuradhapura,Medawachchiya,1721.166504,1652.258758,-0.01769,6304.574777
8.091609418,80.79551087,Elephant,Train,Polonnaruwa,Polonnaruwa,Hingurakgoda,1662.249023,3567.41406,0,3582.264938
8.248115895,80.93200533,Elephant,Train,Polonnaruwa,Polonnaruwa,Hingurakgoda,1836.348511,2466.472845,-0.01694,4401.024125
8.057048825,80.77030424,Elephant,Train,Polonnaruwa,Polonnaruwa,Hingurakgoda,1662.249023,64.36040973,0,7042.358642
8.092631195,80.79635479,Elephant,Train,Polonnaruwa,Polonnaruwa,Hingurakgoda,1662.249023,3483.999626,0,3514.374318
8.091772174,80.79573773,Elephant,Train,Polonnaruwa,Polonnaruwa,Hingurakgoda,1662.249023,3556.526972,0,3561.139021
8.311203285,80.95912153,Elephant,Train,Polonnaruwa,Polonnaruwa,Hingurakgoda,1951.132446,10039.44158,-0.01769,5199.544119
8.064242088,80.9085236,Elephant,Train,Polonnaruwa,Polonnaruwa,Hingurakgoda,1850.384888,2508.811386,-0.01694,5573.901535
7.936297269,81.24217103,Elephant,Train,Polonnaruwa,Polonnaruwa,Welikanda,2052.664795,14575.34211,-0.01769,14081.4989
8.250874033,79.82934592,Elephant,Train,Puththalama,Puththalama,Vanathawilluwa,1485.205566,418.3202363,-0.01801,31819.89069
8.719429804,80.23665274,Elephant,Train,Vavuniyawa,Vavuniyawa,Vengalasettikulam,1537.395386,3820.910844,0,36998.34641
9.16112755,80.42992577,Elephant,Train,Kilinochchiya,Mullativu,Oddusudan,1858.011353,83.61990985,-0.01769,10826.72442
9.16112755,80.42992577,Elephant,Train,Kilinochchiya,Mullativu,Oddusudan,1858.011353,83.61990985,-0.01769,10826.72442
8.058047044,80.70438015,Elephant,Train,Anuradhapura,Anuradhapura,Palugaswewa,1638.447876,626.7163537,0,27913.75513
8.058047044,80.70438015,Elephant,Train,Anuradhapura,Anuradhapura,Palugaswewa,1638.447876,626.7163537,0,27913.75513
8.143446764,80.83645972,Elephant,Train,Polonnaruwa,Polonnaruwa,Higurakgoda,1693.969971,2863.007507,0,9452.587089
8.078534045,80.78731682,Elephant,Train,Polonnaruwa,Polonnaruwa,Higurakgoda,1662.249023,3587.148766,0,4489.787846
8.08368,80.790074,Elephant,Train,Polonnaruwa,Polonnaruwa,Higurakgoda,1662.249023,4090.826441,0,4123.496279
8.27992232,80.94506316,Elephant,Train,Polonnaruwa,Polonnaruwa,Higurakgoda,1866.262451,6250.144974,-0.01769,2906.382816
8.281405079,80.94558125,Elephant,Train,Polonnaruwa,Polonnaruwa,Higurakgoda,1866.262451,6422.714743,-0.01769,2929.986019
7.913521032,81.08642993,Elephant,Train,Polonnaruwa,Polonnaruwa,Thamankaduwa,1955.622559,5738.061713,-0.01694,5289.108423
8.15412239,80.89250923,Elephant,Train,Polonnaruwa,Polonnaruwa,Higurakgoda,1769.734985,8833.076761,0,11135.35719
8.061622263,80.9006292,Elephant,Train,Polonnaruwa,Polonnaruwa,Higurakgoda,1850.384888,3328.857661,-0.01694,4847.175061
8.310245433,80.95771389,Elephant,Train,Polonnaruwa,Polonnaruwa,Higurakgoda,1951.132446,9878.31961,-0.01769,5011.837721
8.079429333,80.78569271,Elephant,bus,Polonnaruwa,Polonnaruwa,Higurakgoda,1662.249023,2975.442855,0,4650.763436
7.942549717,81.23854103,Elephant,Train,Polonnaruwa,Polonnaruwa,Velikanda,2052.664795,1280.339941,-0.01694,14220.55379
8.106526133,80.87661545,Elephant,Train,Polonnaruwa,Polonnaruwa,Higurakgoda,1752.172363,1253.25454,0,5895.783044
7.833539507,80.26343591,Elephant,Train,North western,Kurunegala,Mahawa,1751.029297,258.732545,0.14679,7469.392605
7.989295146,80.27040222,Elephant,Train,North western,Kurunegala,Galgamuwa,1537.662842,145.904168,0.24096,3880.370918
7.989476038,80.27043828,Elephant,Train,North western,Kurunegala,Galgamuwa,1537.662842,125.6504099,0.24096,3885.456521
7.989711228,80.27051056,Elephant,Train,North western,Kurunegala,Galgamuwa,1537.662842,99.34458565,0.24096,3895.012455
7.990290064,80.27060964,Elephant,Train,North western,Kurunegala,Galgamuwa,1537.662842,36.77913924,0.24096,3910.575864
8.062402775,80.62438247,Elephant,Train,Anuradhapura,Anuradhapura,Kekirawa,1604.914795,1983.321623,-0.01694,1052.5062
8.091681756,80.79558347,Elephant,Train,Polonnaruwa,Polonnaruwa,Higuraggoda,1662.249023,3561.740997,0,3575.912918
9.055996036,80.48339468,Elephant,Train,Vavuniyawa,Vavuniyawa,Vavuniya North,2053.791016,7341.649448,-0.01769,2686.905786
