node_id,center_lat,center_lon,radius_meters,elephant_count,sighting_count,elephants,active_hours,avg_ndvi,avg_human_distance,protected,land_cover
0,6.145363865172413,81.07401909172414,1081.8342987119736,1,174,['Wanamali'],"[4, 12, 20]",0.8187931034482757,1733.901440141954,0,30.0
1,6.232405991271566,81.09510485301918,2349.5422267575755,1,626,['Wanamali'],"[12, 16, 4]",0.7951599041533547,2753.4514575996805,0,10.0
2,6.263527091,81.10021680125,242.58312713951972,1,8,['Wanamali'],"[16, 8, 20]",0.7539,2165.7259341249996,0,10.0
3,6.185950646904762,81.14426353204081,1186.507353324777,1,294,['Wanamali'],"[8, 4, 16]",0.8264557823129252,2407.0622959112243,1,10.0
4,6.304392800424243,81.07164172833335,844.895398092151,1,66,['Wanamali'],"[4, 20, 0]",0.8107090909090909,1069.9990672156061,0,10.0
5,6.299415237800001,81.056424714,381.7545963382913,1,10,['Wanamali'],"[0, 4, 16]",0.82896,1999.275012,0,30.0
6,6.329654962482143,81.02813854633928,1125.8969462028392,1,112,['Wanamali'],"[20, 16, 12]",0.7790392857142858,1590.5939160035716,0,10.0
7,6.312432027,81.05459828666666,325.69742172096113,1,6,['Wanamali'],"[20, 0, 8]",0.769,1723.5241551666668,0,10.0
8,6.153739777969697,81.09766541060606,455.4999019730843,1,33,['Wanamali'],"[4, 12, 16]",0.8266363636363636,731.8359169939393,0,10.0
9,6.167423422647058,81.11281531470588,506.7393051021365,1,17,['Wanamali'],"[20, 0, 16]",0.7649705882352941,2694.848806470588,0,10.0
10,6.185249680875,81.11327237,357.16049563382285,1,8,['Wanamali'],"[20, 16, 12]",0.749325,4357.114651,0,10.0
11,6.25081238825,81.10148112875001,83.05347948353489,1,8,['Wanamali'],"[16, 20, 0]",0.575,1033.5801561375001,0,10.0
12,6.286090791574468,81.11679170574469,498.5854601904464,2,47,"['Wanamali', 'Sakunthala']","[4, 0, 8]",0.7604446808510639,1910.3404028787234,0,30.0
13,6.290021868857144,81.10580198,160.82909294028528,1,7,['Wanamali'],"[16, 20, 4]",0.8068571428571428,983.7296610142856,0,30.0
14,6.2969086356,81.103128034,96.15656957738585,1,5,['Wanamali'],"[20, 0, 4]",0.758,1544.3490518,0,10.0
15,7.319948566075408,81.69515618484525,4013.2208127275244,2,1777,"['Sugala', 'Udani']","[0, 20, 16]",0.8020854811480022,2412.184532720765,0,10.0
