corridor_id,from_node,to_node,distance_meters,usage_count,crossing_count,active_hours,bidirectional,safety_score,avg_human_distance
33-34,33,34,5352.976807318604,3,21,"[16, 20, 0, 8, 12]",True,76.95714365923442,3244.6429574043023
33-36,33,36,7755.246914306421,3,10,"[20, 0, 16, 8, 4]",True,66.41443155625984,1926.8039445324798
15-16,15,16,11006.398982275778,2,17,"[20, 8, 16, 12, 0]",True,45.08474967481749,2635.593709352186
16-22,16,22,2268.8991822622224,2,7,"[12, 16, 20, 0]",True,43.108326047134426,2388.5407558918037
15-22,15,22,10248.21632117701,2,3,[16],True,41.32105263408306,2165.1315792603828
15-23,15,23,5345.107068298372,2,26,"[20, 12, 16, 0, 4]",True,40.3172581546164,2039.657269327049
31-41,31,41,1937.5011619162926,2,6,"[16, 12, 0, 20]",True,88.18498050107176,4273.122562633971
31-158,31,158,1425.7804352205105,2,2,"[20, 0]",True,87.15671828654546,4144.589785818182
36-41,36,41,3799.409954208667,2,4,"[20, 12, 4]",True,76.77150950110345,2846.438687637932
36-42,36,42,2244.7988858585472,2,2,[0],True,65.20842319316381,1401.0528991454762
33-42,33,42,7539.68828137409,2,2,"[0, 4]",True,67.56503431226936,1695.6292890336704
43-158,43,158,1475.4662822380085,2,2,"[0, 4]",True,79.76086086742856,3220.1076084285714
32-155,32,155,1094.3948520173183,2,2,"[12, 16]",True,61.69292902834286,961.6161285428572
33-39,33,39,9295.630795013087,2,3,"[20, 0]",True,68.2638259451327,1782.978243141587
53-54,53,54,5917.190220020727,2,9,"[20, 12, 16]",True,29.755337485526894,719.4171856908617
54-63,54,63,5881.663836203824,2,4,"[12, 20, 16]",True,30.34582497957809,793.2281224472611
53-63,53,63,2445.071600473785,2,7,"[12, 20, 16]",True,30.32958715947037,791.1983949337966
54-65,54,65,4834.866848679238,2,10,"[20, 12, 16, 4, 0]",True,29.483593585629123,685.4491982036404
63-65,63,65,2317.3926349179715,2,6,"[16, 20, 12, 4]",True,30.057843259572604,757.2304074465753
53-83,53,83,15612.222312900523,2,2,[20],True,49.02644495456673,1253.3056193208413
84-147,84,147,6499.264579186868,2,3,"[4, 12]",True,46.79749248489333,974.6865606116668
63-86,63,86,5231.09540972585,2,2,"[12, 4]",True,29.325536409660785,665.6920512075981
88-89,88,89,2777.568391153601,2,7,"[20, 12, 16]",True,29.139488363051463,642.436045381433
89-90,89,90,3106.545057529997,2,3,"[16, 12]",True,28.982708307209144,622.8385384011428
90-91,90,91,1398.5984271135412,2,11,"[12, 20, 16, 0]",True,29.508495922911997,688.5619903639999
88-92,88,92,7548.787699611114,2,16,"[20, 12, 16, 0]",True,28.940498486968135,617.5623108710167
92-94,92,94,6578.569861320718,2,2,"[16, 20]",True,30.898343663796215,862.2929579745269
89-95,89,95,1305.5050996275806,2,2,"[12, 20]",True,28.809462958857143,601.1828698571429
88-94,88,94,11011.04209761401,2,2,"[20, 12]",True,30.827343737616722,853.4179672020903
94-97,94,97,6836.164697398318,2,3,"[8, 12, 20]",True,31.564263761639424,945.5329702049279
94-100,94,100,2428.174189705667,2,4,"[0, 16, 12, 20]",True,31.132796526182403,891.5995657728001
105-110,105,110,5458.46728605291,2,6,"[16, 20, 12, 4]",True,76.37855539433352,2797.3194242916898
33-133,33,133,21579.143728665505,2,3,"[12, 20, 16]",True,74.11550104193269,2514.4376302415867
0-1,0,1,9955.376608420152,1,1,[20],True,44.949411590966534,2243.6764488708172
1-2,1,2,3506.336523104167,1,3,"[12, 16]",True,46.67670956689872,2459.58869586234
1-3,1,3,7497.544018039711,1,10,"[20, 12, 16]",True,62.64205501404362,2580.256876755452
1-4,1,4,8414.198626258467,1,5,"[20, 16, 8, 12]",True,42.29380209926114,1911.7252624076432
